,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
77,R. Sterling,4.0,26.0,170.0,69.0,6.6923076923076925,128.0,7015127,0.4392738,0.10036529999999999,0.04654,0.7464366,0.0189602,0.2466694,1.8444238,0.9154026,0.7134826000000001,0.5730557000000001,0.06832210000000001,0.0037827,0.0,123.0556
78,Raphinha,4.0,24.0,176.0,58.0,5.909090909090909,16.0,106000,0.3136644,0.060215599999999994,0.0200659,0.7205814,0.010460800000000001,0.5969661,1.4327162,0.5510484,0.8431218,0.5289242000000001,0.1152089,0.0,0.0,89.1778
79,Richarlison,4.0,23.0,179.0,71.0,6.888888888888888,52.0,2605823,0.323757,0.057960199999999996,0.016826,0.3435264,0.029280900000000006,0.2682915,2.298244,0.5685876,1.1658655000000002,0.4878282,0.0731789,0.0,0.0048568,95.7333
80,Rodrigo_Val,4.0,29.0,182.0,77.0,7.111111111111112,40.0,361722,0.4154598,0.0717074,0.040454,0.50085,0.024003800000000002,0.17750670000000002,1.5145868,0.5319216,0.6667826,0.44612510000000005,0.06715460000000001,0.0048101,0.0048101,97.3556
81,S. Aguero,4.0,32.0,173.0,70.0,7.25,52.0,13499337,0.691929,0.1618876,0.0390041,0.4818744,0.0152709,0.12721079999999998,1.3374514000000002,0.7207704,0.3969033,0.27478280000000005,0.0407224,0.0,0.0,91.7778
82,S. Bergwijn,4.0,23.0,178.0,78.0,5.071428571428571,28.0,505348,0.38174220000000003,0.05549,0.05549,0.7672644,0.01401,0.13076000000000002,1.3740056,0.9222066000000001,0.6023833000000001,0.3315233,0.08406,0.0,0.0,100.0111
83,S. Haller,4.0,26.0,190.0,82.0,5.181818181818182,36.0,123480,0.3595914,0.0792075,0.0376258,0.47669580000000006,0.0361458,0.1859594,4.0051746,0.3554334,0.8523684,0.831727,0.0465132,0.0,0.0,90.4
84,S. Man̩,4.0,28.0,175.0,69.0,5.538461538461538,120.0,7300802,0.45163440000000005,0.09639149999999999,0.028622099999999998,0.5884326,0.023583500000000004,0.20828200000000002,2.3060412,0.8046864,0.8448497,0.6090614000000001,0.0550126,0.0,0.0039228,118.8444
85,T. Abraham,4.0,23.0,190.0,80.0,5.6,40.0,1691131,0.5281794,0.0964989,0.021658999999999998,0.3243996,0.07191800000000001,0.087329,2.0427892,0.3410316,0.6474021000000001,0.4161904,0.025685000000000003,0.0,0.0,90.8889
86,T. Hazard,4.0,27.0,174.0,69.0,6.375,32.0,702956,0.31271940000000004,0.05749479999999999,0.054004300000000005,0.8572283999999999,0.0091065,0.3363334,1.6267197999999998,0.6695892,0.7408955,0.4181518,0.027272800000000003,0.0,0.0,102.7444
87,T. Werner,4.0,24.0,180.0,75.0,6.636363636363638,64.0,823676,0.6161399999999999,0.1163858,0.0430495,0.4579092,0.0083126,0.0956883,0.81832,0.46463760000000004,0.4700355,0.34109680000000003,0.0291408,0.0,0.0,112.2667
88,V. Osimhen,4.0,22.0,185.0,78.0,4.25,27.0,172591,0.2689092,0.0918091,0.014803299999999998,0.2001132,0.0154577,0.11590940000000001,0.21075600000000003,0.1188054,0.4017601,0.6026168000000001,0.0463731,0.0,0.0,60.4444
89,W. Ben Yedder,4.0,30.0,170.0,68.0,7.0,40.0,427450,0.5276879999999999,0.1240649,0.0332045,0.5572098,0.0,0.1367843,0.9760010000000001,0.43545600000000007,0.38294,0.31914780000000004,0.0501558,0.0045766,0.0,102.4333
90,W. Jos̩,4.0,29.0,189.0,93.0,6.142857142857142,24.0,117844,0.3799656,0.0877637,0.0197437,0.4633524,0.0400686,0.0400686,1.17344,0.2085048,0.5896342,0.53238,0.0801372,0.0,0.0057441,81.5778
91,W. Weghorst,4.0,28.0,197.0,84.0,6.0,21.5,48391,0.4615002,0.1008665,0.030250999999999997,0.42245279999999996,0.035071700000000004,0.078923,1.3993272,0.1561896,0.5789399000000001,0.5175294,0.0833128,0.0043898,0.0,106.4778
92,W. Zaha,4.0,28.0,180.0,66.0,3.888888888888889,44.0,1028085,0.26913600000000004,0.0424767,0.0212473,0.5586462,0.010087200000000001,0.1612084,3.2562188,1.5291234,1.4055299,0.6851357000000001,0.095735,0.0050436000000000005,0.0,92.7
93,Willian,4.0,32.0,175.0,77.0,6.153846153846153,22.5,8983450,0.370251,0.050084199999999995,0.050084199999999995,1.1371374,0.01401,0.2473699,1.6550136000000002,1.0729152,0.7794697,0.2986932,0.037360000000000004,0.0,0.0,100.0556
94,Y. Poulsen,4.0,26.0,192.0,84.0,6.545454545454546,24.0,109000,0.28440719999999997,0.0600903,0.0476498,0.4550742,0.032456500000000006,0.140567,2.5781326,0.35002799999999995,0.8703479000000001,0.8216865000000001,0.0486614,0.0,0.0,86.3889
