,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
287,P. Kimpembe,3.0,25.0,183.0,77.0,3.769230769230769,28.0,2500000,0.2779,0.0962,0.0107,0.0,0.0107,54.4554,0.1283,6.9058,1.0156,0.1924,1.0156,5.174,3.2284,0.6735,0.4917,1.3683,1.0049,0.2031,0.0214,0.0107,0.0,0.0321,0.0,0.0,0.0,1.069,1.0049,0.0641,0.0214,0.3742,93.5444
293,R. Dias,3.0,23.0,187.0,70.0,5.6,30.5,316192,0.493,0.1585,0.088,0.0,0.0264,45.6778,0.2993,5.8979,0.8011,0.3697,0.9331,5.7218,3.1338,0.2377,0.1496,0.6426,1.2236,0.2201,0.0088,0.0,0.0,0.044,0.0,0.0,0.0,1.0035,1.0035,0.0,0.0264,0.0264,113.6
297,R. Gosens,3.0,26.0,183.0,76.0,6.222222222222222,20.0,66299,1.2396,0.3678,0.1771,0.0,0.1226,30.8673,0.9399,7.7781,1.512,0.1498,1.3758,6.1435,3.8141,1.3077,0.613,1.2124,1.0489,0.1226,0.0,0.0,0.0136,0.0,0.0,0.0,0.0,1.2532,1.0353,0.218,0.3542,0.6811,73.4111
298,R. Guerreiro,3.0,27.0,170.0,71.0,5.818181818181818,28.0,684951,1.5283,0.655,0.2495,0.0,0.1404,52.4935,1.5907,11.5717,1.0293,0.0468,1.31,4.7721,2.464,2.2145,1.2944,0.7798,0.4211,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.9669,0.3431,0.3899,0.5458,64.1222
299,R. James,3.0,21.0,183.0,82.0,6.285714285714286,22.5,574586,1.0549,0.3037,0.0799,0.0,0.0959,34.3953,1.6622,6.4891,1.4385,0.3516,0.975,10.4688,6.0575,1.8221,1.3745,1.3905,1.0868,0.1279,0.0,0.0,0.0,0.032,0.016,0.0,0.0,1.1508,0.975,0.1758,0.1119,0.2397,62.5667
306,R. Pereira,3.0,27.0,175.0,70.0,6.333333333333333,32.0,683382,0.6974,0.218,0.0872,0.0,0.1308,39.682,1.0752,5.4634,3.7197,0.2325,1.7,15.1405,8.3549,3.3274,2.0488,1.3804,1.3949,0.1162,0.0,0.0,0.0145,0.0291,0.0,0.0,0.0,1.0171,1.0026,0.0145,0.0291,0.1308,68.8222
310,R. Varane,3.0,27.0,191.0,81.0,6.583333333333333,64.0,13905800,0.5389,0.0972,0.0442,0.0,0.0177,45.3004,0.1678,8.5601,0.636,0.371,1.1131,4.4876,2.9947,0.3092,0.2562,0.3357,0.4594,0.0707,0.0,0.0088,0.0,0.0177,0.0,0.0,0.0,1.0247,1.0159,0.0088,0.0442,0.1502,113.2
326,S. Roberto,3.0,28.0,178.0,68.0,6.3,40.0,7464820,0.3462,0.1324,0.0305,0.0,0.1731,60.93,0.9266,8.1966,0.8044,0.1426,1.4051,7.1479,4.1136,1.6597,1.0589,1.3644,0.8451,0.1833,0.0,0.0204,0.0102,0.0102,0.0,0.0,0.0,1.2219,0.9775,0.2444,0.2138,0.3462,98.2111
327,S. Savic,3.0,29.0,187.0,81.0,6.2727272727272725,25.5,300512,0.24,0.0706,0.0141,0.0,0.0282,31.1202,0.113,10.9711,0.5507,0.3812,1.5532,4.829,2.7393,0.1271,0.113,0.3954,0.8896,0.2259,0.0424,0.0,0.0,0.0141,0.0,0.0,0.0,1.0731,1.0166,0.0565,0.0424,0.3248,70.8222
330,S. Umtiti,3.0,27.0,182.0,75.0,5.5,32.0,6622992,0.2126,0.0911,0.0152,0.0,0.0152,62.6781,0.0759,11.1627,0.3797,0.3037,1.5947,5.4522,3.4931,0.4708,0.3797,1.0631,1.0935,0.243,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,1.0631,0.9872,0.0759,0.0304,0.5467,65.8444
